t0	t1	VALUE	ID_participant	ID_partner	ID_dyad	IP_ID	clarity	speech_clean	word_count
379845	381065	zes of acht uur	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_379845_381065	ok	zes  acht uur	3
380975	383315	euhm dat bestond bij ons niet wij hadden enkel zes uur	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_380975_383315	ok	bestond      enkel zes uur	4
383235	384225	ah ja bij ons ook	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_383235_384225	ok	    	1
384170	385730	ah ok gij hebt ook Latijn-wiskunde gedaan (misschien)	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_384170_385730	unclear	  gij   Latijn-wiskunde  misschien	5
385275	386595	Latijn-wiskunde ja ja	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_385275_386595	ok	Latijn-wiskunde  	2
385815	386795	ah ok wow	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_385815_386795	ok	  	1
386795	387775	allez zot	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_386795_387775	ok	 zot	2
386875	387885	dat zijn de beste he	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_386875_387885	ok	   beste 	2
387790	389410	ja dat is wel dat is wel	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_387790_389410	ok	      	1
389260	389710	ja	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_389260_389710	ok		0
389710	393340	bij mij was er ook geen acht uur allez ze hadden acht uur het jaar voor mij	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_389710_393340	ok	   er   acht uur    acht uur  jaar  	7
393330	393910	en dan	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_393330_393910	ok	 dan	2
393615	394825	en dan hebben ze dat afgeschaft	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_393615_394825	ok	 dan    afgeschaft	3
